User_ID,QA_ID,Ranking_Strategy,Question,Gold,Pred,F1,BLEU,Metric,Trace_Metric,Text_Mode,TopN,TopIDs,Targets,Category,Context_Tokens,Generation_Latency
0,0,baseline,When did Caroline go to the LGBTQ support group?,7 May 2023,"7 May, 2023",1.0000,0.7500,content_event_topic_kw,,content,5,"[1, 12, 20, 37, 31]",[1],2,1202,2.316928
0,1,baseline,When did Melanie paint a sunrise?,2022,In 2022.,0.6667,0.3333,content_event_topic_kw,,content,5,"[45, 3, 30, 57, 40]",[2],2,1115,1.118109
0,2,baseline,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health.,0.2857,0.2000,content_event_topic_kw,,content,5,"[11, 21, 15, 2, 52]",[2],3,1513,2.027842
0,3,baseline,What did Caroline research?,Adoption agencies,Adoption agencies.,1.0000,0.6667,content_event_topic_kw,,content,5,"[11, 4, 21, 15, 6]",[6],1,1412,0.835570
0,4,baseline,What is Caroline's identity?,Transgender woman,Caroline is transgender.,0.4000,0.2500,content_event_topic_kw,,content,5,"[7, 9, 41, 14, 11]",[1],1,2100,0.873923
0,5,baseline,When did Melanie run a charity race?,The sunday before 25 May 2023,20 May 2023,0.4444,0.2453,content_event_topic_kw,,content,5,"[5, 24, 7, 34, 31]",[5],2,2202,0.772047
0,6,baseline,When is Melanie planning on going camping?,June 2023,Next summer.,0.0000,0.0000,content_event_topic_kw,,content,5,"[10, 63, 19, 53, 32]",[6],2,1397,1.001085
0,7,baseline,What is Caroline's relationship status?,Single,Single after a tough breakup.,0.3333,0.1667,content_event_topic_kw,,content,5,"[15, 8, 42, 12, 7]","[6, 7]",1,1777,0.981073
0,8,baseline,When did Caroline give a speech at a school?,The week before 9 June 2023,2 June 2023,0.4444,0.2453,content_event_topic_kw,,content,5,"[7, 12, 20, 50, 14]",[7],2,1714,0.931615
0,9,baseline,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,Last week (26 June 2023).,0.5455,0.3750,content_event_topic_kw,,content,5,"[12, 7, 18, 29, 11]",[7],2,2532,1.148656
0,10,baseline,How long has Caroline had her current group of friends for?,4 years,Four years.,0.5000,0.3333,content_event_topic_kw,,content,5,"[7, 31, 8, 18, 0]",[7],2,2080,1.322167
0,11,baseline,Where did Caroline move from 4 years ago?,Sweden,Her home country.,0.0000,0.0000,content_event_topic_kw,,content,5,"[49, 42, 15, 7, 14]","[7, 9]",1,1963,0.861243
0,12,baseline,How long ago was Caroline's 18th birthday?,10 years ago,Two years ago.,0.6667,0.5000,content_event_topic_kw,,content,5,"[33, 9, 8, 14, 12]",[9],2,1204,0.789712
0,13,baseline,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,Counseling and mental health.,0.5455,0.4022,content_event_topic_kw,,content,5,"[11, 21, 15, 12, 2]","[2, 11]",1,1264,0.750489
0,14,baseline,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,"No, she wouldn't.",0.3333,0.1667,content_event_topic_kw,,content,5,"[21, 11, 12, 2, 15]","[7, 11]",3,1264,1.199900
0,15,baseline,What activities does Melanie partake in?,"pottery, camping, painting, swimming","Running, reading, playing violin.",0.0000,0.2857,content_event_topic_kw,,content,5,"[15, 5, 52, 25, 49]","[2, 4, 13, 29]",1,1884,1.130113
0,16,baseline,When did Melanie sign up for a pottery class?,2 July 2023,2 July 2023,1.0000,1.0000,content_event_topic_kw,,content,5,"[13, 44, 25, 57, 38]",[13],2,2067,1.021815
0,17,baseline,When is Caroline going to the transgender conference?,July 2023,July 2023,1.0000,1.0000,content_event_topic_kw,,content,5,"[14, 20, 12, 1, 58]",[14],2,1255,0.836608
0,18,baseline,Where has Melanie camped?,"beach, mountains, forest",In the mountains and at the beach.,0.4000,0.2500,content_event_topic_kw,,content,5,"[19, 10, 63, 32, 49]","[10, 19, 28]",1,1821,1.159467
0,19,baseline,What do Melanie's kids like?,"dinosaurs, nature",Dinosaurs and pottery.,0.4000,0.2500,content_event_topic_kw,,content,5,"[25, 16, 61, 49, 32]","[10, 16]",1,2148,1.022459
0,20,baseline,When did Melanie go to the museum?,5 July 2023,5 July 2023,1.0000,1.0000,content_event_topic_kw,,content,5,"[16, 49, 46, 55, 59]",[16],2,1700,0.834401
0,21,baseline,When did Caroline have a picnic?,The week before 6 July 2023,Last week (29 June 2023).,0.3636,0.2500,content_event_topic_kw,,content,5,"[10, 49, 45, 33, 18]",[18],2,1527,1.507534
0,22,baseline,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books","Yes, likely has Dr. Seuss books.",0.2857,0.3309,content_event_topic_kw,,content,5,"[17, 22, 39, 9, 52]",[17],3,1585,1.068136
0,23,baseline,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",No specific books mentioned.,0.0000,0.0000,content_event_topic_kw,,content,5,"[22, 17, 15, 49, 52]","[17, 22]",1,1662,0.736740
0,24,baseline,What does Melanie do to destress?,"Running, pottery",Running longer distances.,0.4000,0.2500,content_event_topic_kw,,content,5,"[24, 4, 5, 57, 15]","[13, 24]",1,1322,0.816916
0,25,baseline,When did Caroline go to the LGBTQ conference?,10 July 2023,"10 July, 2023",1.0000,0.7500,content_event_topic_kw,,content,5,"[12, 20, 14, 1, 34]",[20],2,959,0.884231
0,26,baseline,"When did Melanie read the book ""nothing is impossible""?",2022,The book was read last year.,0.0000,0.0000,content_event_topic_kw,,content,5,"[22, 17, 64, 7, 51]",[22],2,2345,0.987498
0,27,baseline,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor","No, she prefers counseling.",0.2500,0.1318,content_event_topic_kw,,content,5,"[21, 11, 15, 50, 22]","[21, 22]",3,1208,0.951080
0,28,baseline,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,"7 July, 2023",0.4444,0.3033,content_event_topic_kw,,content,5,"[26, 42, 39, 56, 64]",[26],2,1218,1.216392
0,29,baseline,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,"7 July, 2023",0.4444,0.3033,content_event_topic_kw,,content,5,"[44, 13, 25, 57, 38]",[25],2,2067,0.839745
0,30,baseline,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it","No, there's no evidence.",0.1176,0.1212,content_event_topic_kw,,content,5,"[31, 20, 34, 7, 12]",[],3,2022,1.295644
0,31,baseline,When did Melanie go camping in June?,The week before 27 June 2023,Last week of June 2023.,0.5455,0.5000,content_event_topic_kw,,content,5,"[10, 19, 63, 32, 53]",[10],2,1397,2.133630
0,32,baseline,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","Pride parade, LGBTQ conference, mentorship program.",0.3333,0.4444,content_event_topic_kw,,content,5,"[31, 12, 20, 1, 29]","[1, 7, 12, 28]",1,1685,1.058619
0,33,baseline,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,"August 11, 2023",0.2222,0.1516,content_event_topic_kw,,content,5,"[12, 34, 31, 29, 20]",[12],2,1738,0.735575
0,34,baseline,What events has Caroline participated in to help children?,"Mentoring program, school speech",Mentorship program for LGBTQ youth.,0.2222,0.1667,content_event_topic_kw,,content,5,"[50, 6, 17, 29, 33]","[7, 29]",1,1659,1.021616
0,35,baseline,When did Melanie go camping in July?,two weekends before 17 July 2023,Melanie went camping on 6 July 2023.,0.3077,0.2500,content_event_topic_kw,,content,5,"[10, 19, 32, 63, 53]",[29],2,1397,1.164425
0,36,baseline,When did Caroline join a mentorship program?,The weekend before 17 July 2023,"Last weekend, 8-9 July 2023.",0.5000,0.4286,content_event_topic_kw,,content,5,"[29, 21, 12, 11, 56]",[29],2,1737,1.133097
0,37,baseline,What did Melanie paint recently?,sunset,A lake sunrise.,0.0000,0.0000,content_event_topic_kw,,content,5,"[3, 45, 30, 57, 25]",[],1,1281,0.937699
0,38,baseline,What activities has Melanie done with her family?,"Pottery, painting, camping, museum, swimming, hiking","Pottery, camping, painting, beach trips.",0.5455,0.5338,content_event_topic_kw,,content,5,"[25, 10, 32, 8, 49]","[4, 7, 16, 25, 29]",1,2265,1.627391
0,39,baseline,In what ways is Caroline participating in the LGBTQ community?,"Joining activist group, going to pride parades, participating in an art show, mentoring program",Attending pride parades and mentoring youth.,0.3000,0.1027,content_event_topic_kw,,content,5,"[12, 20, 31, 29, 7]","[12, 29, 31]",1,2499,0.843370
0,40,baseline,How many times has Melanie gone to the beach in 2023?,2,Once in 2023.,0.0000,0.0000,content_event_topic_kw,,content,5,"[32, 49, 45, 19, 14]","[19, 32]",1,1806,0.732809
0,41,baseline,When did Caroline join a new activist group?,The Tuesday before 20 July 2023,13 July 2023,0.4444,0.2453,content_event_topic_kw,,content,5,"[31, 20, 12, 50, 29]",[31],2,1679,0.911065
0,42,baseline,Would Melanie be more interested in going to a national park or a theme park?,National park; she likes the outdoors,National park,0.5000,0.0821,content_event_topic_kw,,content,5,"[49, 38, 10, 16, 53]",[32],3,1909,1.267353
